comment_id,platform,program_name,comment_text,sentiment,likes,replies,engagement_score,hashtags,topic_category,city_region,created_at,user_type,urgency_level,clean_comment,year,month,day,engagement_category
CMT-100013,TikTok,Batu Tourism App,Salut untuk inovasi digital Kota Batu.,Positive,1300,232,1764,#BatuDigital,Pendidikan,Kediri,2025-10-17 20:00:34,UMKM Owner,Low,salutuntukinovasidigitalkotabatu,2025,10,17,Medium
CMT-100014,TikTok,Smart City Batu,Programnya cukup menarik untuk dicoba.,Neutral,1257,191,1639,#WisataBatu,Ekonomi Digital,Batu,2025-07-19 10:29:58,Citizen,Medium,programnyacukupmenarikuntukdicoba,2025,7,19,Medium
CMT-100015,Twitter/X,Digital UMKM,Kadang sulit login ke sistem.,Negative,479,123,725,#DiskominfoBatu,Ekonomi Digital,Batu,2026-02-21 13:56:08,Public Employee,Medium,kadangsulitloginkesistem,2026,2,21,Low
CMT-100016,Twitter/X,WiFi Publik Kota Batu,Masih ada beberapa fitur yang perlu diperbaiki.,Neutral,3898,484,4866,#UMKMBatu,Teknologi,Malang,2026-04-10 21:23:53,Public Employee,Medium,masihadabeberapafituryangperludiperbaiki,2026,4,10,High
CMT-100017,Twitter/X,E-Government Service,Programnya cukup menarik untuk dicoba.,Neutral,2558,204,2966,#KotaBatu,Ekonomi Digital,Batu,2026-05-02 21:53:00,Student,Medium,programnyacukupmenarikuntukdicoba,2026,5,2,Medium
CMT-100018,Twitter/X,Pelayanan Dukcapil Online,Informasi publik jadi lebih transparan.,Positive,177,301,779,#PelayananPublik,Infrastruktur,Batu,2026-04-04 01:07:10,Citizen,Low,informasipublikjadilebihtransparan,2026,4,4,Low
CMT-100019,Twitter/X,Pelayanan Dukcapil Online,Pelayanan sekarang jauh lebih cepat dan mudah.,Positive,2711,36,2783,#UMKMBatu,Ekonomi Digital,Malang,2025-10-12 22:51:21,Public Employee,Low,pelayanansekarangjauhlebihcepatdanmudah,2025,10,12,Medium
CMT-100020,Instagram,Digital Learning Batu,Pelayanan online sekarang lebih efisien.,Positive,1995,401,2797,#PelayananPublik,Pendidikan,Batu,2025-07-22 01:06:53,Tourist,Low,pelayananonlinesekaranglebihefisien,2025,7,22,Medium
CMT-100021,Twitter/X,Smart City Batu,Salut untuk inovasi digital Kota Batu.,Positive,3830,442,4714,#DiskominfoBatu,Infrastruktur,Blitar,2026-01-08 17:09:17,UMKM Owner,Low,salutuntukinovasidigitalkotabatu,2026,1,8,High
CMT-100022,TikTok,Smart Transportation Batu,Fiturnya cukup membantu untuk masyarakat.,Neutral,2041,98,2237,#BatuDigital,Teknologi,Malang,2025-11-04 22:38:15,UMKM Owner,Medium,fiturnyacukupmembantuuntukmasyarakat,2025,11,4,Medium
CMT-100023,Twitter/X,Digital UMKM,Program ini sangat membantu masyarakat.,Positive,3635,413,4461,#SmartCityBatu,Infrastruktur,Batu,2025-08-13 12:31:30,Student,Low,programinisangatmembantumasyarakat,2025,8,13,High
CMT-100024,Instagram,Smart City Batu,Pelayanan online sekarang lebih efisien.,Positive,3948,109,4166,#BatuDigital,Teknologi,Batu,2026-04-17 22:48:00,Tourist,Low,pelayananonlinesekaranglebihefisien,2026,4,17,High
CMT-100025,Twitter/X,Smart Transportation Batu,Pelayanan online sekarang lebih efisien.,Positive,2341,216,2773,#BatuDigital,Pariwisata,Surabaya,2025-08-20 17:44:24,Student,Low,pelayananonlinesekaranglebihefisien,2025,8,20,Medium
CMT-100026,Twitter/X,Smart Transportation Batu,Aplikasinya sering error saat digunakan.,Negative,473,25,523,#BatuDigital,Infrastruktur,Pasuruan,2025-11-03 23:51:35,Citizen,High,aplikasinyaseringerrorsaatdigunakan,2025,11,3,Low
CMT-100027,TikTok,Pelayanan Dukcapil Online,Respon pelayanan masih cukup lambat.,Negative,1931,206,2343,#SmartCityBatu,Pendidikan,Blitar,2026-01-27 03:36:29,Public Employee,Medium,responpelayananmasihcukuplambat,2026,1,27,Medium
CMT-100028,Twitter/X,E-Government Service,Aplikasinya lumayan mudah digunakan.,Neutral,2141,104,2349,#PelayananPublik,Transportasi,Blitar,2025-09-16 16:49:49,Student,Medium,aplikasinyalumayanmudahdigunakan,2025,9,16,Medium
CMT-100029,TikTok,Smart City Batu,Informasi sudah cukup jelas.,Neutral,3750,161,4072,#KotaBatu,Pendidikan,Batu,2026-02-28 20:42:23,Public Employee,Medium,informasisudahcukupjelas,2026,2,28,High
CMT-100030,Instagram,Digital UMKM,Digitalisasi layanan sangat mempermudah warga.,Positive,1090,477,2044,#PelayananPublik,Pelayanan Publik,Surabaya,2025-08-20 11:03:46,Student,Low,digitalisasilayanansangatmempermudahwarga,2025,8,20,Medium
CMT-100031,Twitter/X,Batu Tourism App,Digitalisasi layanan sangat mempermudah warga.,Positive,4338,4,4346,#DiskominfoBatu,UMKM,Surabaya,2025-12-19 14:44:14,Citizen,Low,digitalisasilayanansangatmempermudahwarga,2025,12,19,High
CMT-100032,TikTok,E-Government Service,Sistem sering mengalami gangguan.,Negative,2313,309,2931,#PelayananPublik,Transportasi,Pasuruan,2025-08-04 12:43:55,Tourist,High,sistemseringmengalamigangguan,2025,8,4,Medium
CMT-100033,Instagram,Batu Tourism App,Pelayanan sekarang jauh lebih cepat dan mudah.,Positive,761,324,1409,#SmartCityBatu,Infrastruktur,Surabaya,2025-09-03 13:07:25,Student,Low,pelayanansekarangjauhlebihcepatdanmudah,2025,9,3,Medium
CMT-100034,Instagram,Digital Learning Batu,Informasi sudah cukup jelas.,Neutral,1328,379,2086,#SmartCityBatu,Pendidikan,Batu,2025-09-06 01:24:28,Student,Medium,informasisudahcukupjelas,2025,9,6,Medium
CMT-100035,TikTok,Digital Learning Batu,Informasi publik jadi lebih transparan.,Positive,4776,282,5340,#BatuDigital,Infrastruktur,Surabaya,2025-09-28 03:55:26,UMKM Owner,Low,informasipublikjadilebihtransparan,2025,9,28,High
CMT-100036,TikTok,Digital UMKM,Aplikasinya sering error saat digunakan.,Negative,1725,349,2423,#WisataBatu,Teknologi,Pasuruan,2025-11-26 11:34:56,Student,High,aplikasinyaseringerrorsaatdigunakan,2025,11,26,Medium
CMT-100037,Instagram,Smart City Batu,Fitur aplikasi masih kurang lengkap.,Negative,1455,451,2357,#BatuDigital,Pelayanan Publik,Blitar,2026-01-25 02:27:58,Student,Medium,fituraplikasimasihkuranglengkap,2026,1,25,Medium
CMT-100038,TikTok,Smart Transportation Batu,Program ini sangat membantu masyarakat.,Positive,3138,446,4030,#PelayananPublik,Pariwisata,Blitar,2025-12-25 11:59:06,UMKM Owner,Low,programinisangatmembantumasyarakat,2025,12,25,High
CMT-100039,Twitter/X,Pelayanan Dukcapil Online,WiFi publik sangat membantu mahasiswa.,Positive,1831,12,1855,#DigitalGovernment,Pelayanan Publik,Surabaya,2026-04-27 18:40:49,Citizen,Low,wifipubliksangatmembantumahasiswa,2026,4,27,Medium
CMT-100040,Twitter/X,E-Government Service,Kadang sulit login ke sistem.,Negative,4178,204,4586,#SmartCityBatu,Pendidikan,Surabaya,2026-04-12 18:52:17,Student,High,kadangsulitloginkesistem,2026,4,12,High
CMT-100041,Twitter/X,Digital Learning Batu,Informasi sudah cukup jelas.,Neutral,318,55,428,#WisataBatu,Pelayanan Publik,Blitar,2026-02-07 14:05:00,Public Employee,Medium,informasisudahcukupjelas,2026,2,7,Low
CMT-100042,Instagram,Smart City Batu,Respon pelayanan masih cukup lambat.,Negative,4728,97,4922,#DigitalGovernment,Infrastruktur,Pasuruan,2025-08-14 18:07:14,Public Employee,High,responpelayananmasihcukuplambat,2025,8,14,High
CMT-100043,TikTok,E-Government Service,Programnya cukup menarik untuk dicoba.,Neutral,2988,220,3428,#WisataBatu,Pendidikan,Kediri,2025-08-21 15:42:38,UMKM Owner,Medium,programnyacukupmenarikuntukdicoba,2025,8,21,High
CMT-100044,Twitter/X,Batu Tourism App,Salut untuk inovasi digital Kota Batu.,Positive,2677,206,3089,#BatuDigital,Pariwisata,Blitar,2025-09-15 18:01:03,Tourist,Low,salutuntukinovasidigitalkotabatu,2025,9,15,High
CMT-100045,Instagram,Smart City Batu,Masih ada beberapa fitur yang perlu diperbaiki.,Neutral,4667,154,4975,#UMKMBatu,Transportasi,Malang,2026-01-10 20:00:13,Tourist,Medium,masihadabeberapafituryangperludiperbaiki,2026,1,10,High
CMT-100046,Instagram,Pelayanan Dukcapil Online,Aplikasinya lumayan mudah digunakan.,Neutral,3814,226,4266,#KotaBatu,UMKM,Kediri,2025-08-24 14:36:34,Citizen,Medium,aplikasinyalumayanmudahdigunakan,2025,8,24,High
CMT-100047,TikTok,Batu Tourism App,Informasi publik jadi lebih transparan.,Positive,770,419,1608,#PelayananPublik,Pariwisata,Malang,2026-01-23 17:32:33,Citizen,Low,informasipublikjadilebihtransparan,2026,1,23,Medium
CMT-100048,Instagram,Pelayanan Dukcapil Online,Pelayanan online sekarang lebih efisien.,Positive,601,233,1067,#DigitalGovernment,Ekonomi Digital,Blitar,2025-07-06 00:06:15,Student,Low,pelayananonlinesekaranglebihefisien,2025,7,6,Medium
CMT-100049,Instagram,Pelayanan Dukcapil Online,Pelayanan sekarang jauh lebih cepat dan mudah.,Positive,878,398,1674,#BatuDigital,Ekonomi Digital,Batu,2025-12-27 00:49:58,Public Employee,Low,pelayanansekarangjauhlebihcepatdanmudah,2025,12,27,Medium
CMT-100050,Instagram,E-Government Service,Program ini sangat membantu masyarakat.,Positive,3744,68,3880,#KotaBatu,Teknologi,Pasuruan,2026-02-09 16:55:50,Tourist,Low,programinisangatmembantumasyarakat,2026,2,9,High
CMT-100051,TikTok,Batu Tourism App,Server sering down saat ramai pengguna.,Negative,2128,384,2896,#KotaBatu,Pariwisata,Surabaya,2025-10-28 20:54:10,Tourist,High,serverseringdownsaatramaipengguna,2025,10,28,Medium
CMT-100052,Instagram,E-Government Service,Digitalisasi layanan sangat mempermudah warga.,Positive,1925,139,2203,#DiskominfoBatu,UMKM,Malang,2025-12-01 06:45:23,Student,Low,digitalisasilayanansangatmempermudahwarga,2025,12,1,Medium
CMT-100053,Instagram,Digital Learning Batu,Aplikasi pemerintah makin modern dan responsif.,Positive,1757,32,1821,#WisataBatu,Ekonomi Digital,Blitar,2026-03-05 03:30:06,Citizen,Low,aplikasipemerintahmakinmoderndanresponsif,2026,3,5,Medium
CMT-100054,Twitter/X,Smart City Batu,Salut untuk inovasi digital Kota Batu.,Positive,3195,463,4121,#DigitalGovernment,Ekonomi Digital,Batu,2025-06-10 00:50:48,UMKM Owner,Low,salutuntukinovasidigitalkotabatu,2025,6,10,High
CMT-100055,Twitter/X,Pelayanan Dukcapil Online,Salut untuk inovasi digital Kota Batu.,Positive,3437,275,3987,#KotaBatu,Pariwisata,Surabaya,2026-04-17 23:26:02,Tourist,Low,salutuntukinovasidigitalkotabatu,2026,4,17,High
CMT-100056,Twitter/X,Digital Learning Batu,Salut untuk inovasi digital Kota Batu.,Positive,2758,342,3442,#BatuDigital,Ekonomi Digital,Malang,2025-09-09 03:06:55,Public Employee,Low,salutuntukinovasidigitalkotabatu,2025,9,9,High
CMT-100057,Twitter/X,Smart City Batu,Salut untuk inovasi digital Kota Batu.,Positive,4853,288,5429,#DiskominfoBatu,Teknologi,Malang,2025-11-14 10:06:24,Tourist,Low,salutuntukinovasidigitalkotabatu,2025,11,14,High
CMT-100058,TikTok,Smart Transportation Batu,Digitalisasi layanan sangat mempermudah warga.,Positive,3110,167,3444,#WisataBatu,Pelayanan Publik,Blitar,2026-03-24 00:15:37,UMKM Owner,Low,digitalisasilayanansangatmempermudahwarga,2026,3,24,High
CMT-100059,TikTok,Smart Transportation Batu,Masih perlu pengembangan lebih lanjut.,Neutral,2071,427,2925,#SmartCityBatu,Infrastruktur,Surabaya,2025-06-21 12:04:25,Student,Medium,masihperlupengembanganlebihlanjut,2025,6,21,Medium
CMT-100060,TikTok,Pelayanan Dukcapil Online,Semoga layanan terus ditingkatkan.,Neutral,259,486,1231,#SmartCityBatu,UMKM,Malang,2025-12-17 22:26:32,Student,Medium,semogalayananterusditingkatkan,2025,12,17,Medium
CMT-100061,TikTok,Smart Transportation Batu,Program ini sangat membantu masyarakat.,Positive,4625,485,5595,#UMKMBatu,Pelayanan Publik,Malang,2025-10-15 02:28:51,Public Employee,Low,programinisangatmembantumasyarakat,2025,10,15,High
CMT-100062,Instagram,Digital UMKM,Fiturnya cukup membantu untuk masyarakat.,Neutral,1346,493,2332,#SmartCityBatu,Transportasi,Pasuruan,2025-11-24 06:08:35,Tourist,Medium,fiturnyacukupmembantuuntukmasyarakat,2025,11,24,Medium
CMT-100063,Twitter/X,Pelayanan Dukcapil Online,WiFi publik sangat membantu mahasiswa.,Positive,627,303,1233,#DiskominfoBatu,Transportasi,Kediri,2026-04-11 06:23:00,Public Employee,Low,wifipubliksangatmembantumahasiswa,2026,4,11,Medium
CMT-100064,Instagram,E-Government Service,Semoga layanan terus ditingkatkan.,Neutral,2849,272,3393,#DiskominfoBatu,Pelayanan Publik,Batu,2025-12-11 12:23:41,Tourist,Medium,semogalayananterusditingkatkan,2025,12,11,High
CMT-100065,Instagram,Smart Transportation Batu,Fiturnya cukup membantu untuk masyarakat.,Neutral,3556,491,4538,#BatuDigital,Teknologi,Malang,2025-09-20 19:32:38,Public Employee,Medium,fiturnyacukupmembantuuntukmasyarakat,2025,9,20,High
CMT-100066,Twitter/X,Batu Tourism App,Kadang sulit login ke sistem.,Negative,3813,223,4259,#WisataBatu,Pariwisata,Batu,2025-07-30 11:53:25,UMKM Owner,High,kadangsulitloginkesistem,2025,7,30,High
CMT-100067,Twitter/X,Digital Learning Batu,Fitur aplikasi masih kurang lengkap.,Negative,4673,312,5297,#WisataBatu,Infrastruktur,Blitar,2026-04-29 05:55:49,UMKM Owner,High,fituraplikasimasihkuranglengkap,2026,4,29,High
CMT-100068,Instagram,E-Government Service,WiFi publik sangat membantu mahasiswa.,Positive,2911,408,3727,#UMKMBatu,Transportasi,Pasuruan,2025-10-01 12:27:53,Citizen,Low,wifipubliksangatmembantumahasiswa,2025,10,1,High
CMT-100069,Twitter/X,Digital Learning Batu,WiFi publik sangat membantu mahasiswa.,Positive,706,123,952,#KotaBatu,Pariwisata,Kediri,2025-11-03 19:29:08,Tourist,Low,wifipubliksangatmembantumahasiswa,2025,11,3,Low
CMT-100070,TikTok,Digital UMKM,Pelayanan sudah cukup baik.,Neutral,3676,405,4486,#UMKMBatu,Pariwisata,Blitar,2026-03-18 23:11:05,Student,Medium,pelayanansudahcukupbaik,2026,3,18,High
CMT-100071,Twitter/X,E-Government Service,Informasi publik jadi lebih transparan.,Positive,3881,283,4447,#DigitalGovernment,Pelayanan Publik,Surabaya,2026-04-07 07:54:52,Tourist,Low,informasipublikjadilebihtransparan,2026,4,7,High
CMT-100072,Twitter/X,Pelayanan Dukcapil Online,Digitalisasi layanan sangat mempermudah warga.,Positive,1893,61,2015,#WisataBatu,Pendidikan,Kediri,2026-03-12 10:17:23,Public Employee,Low,digitalisasilayanansangatmempermudahwarga,2026,3,12,Medium
CMT-100073,Instagram,Batu Tourism App,Sistem sering mengalami gangguan.,Negative,1777,378,2533,#UMKMBatu,Pendidikan,Malang,2026-01-28 16:46:26,UMKM Owner,Medium,sistemseringmengalamigangguan,2026,1,28,Medium
CMT-100074,Twitter/X,WiFi Publik Kota Batu,Aplikasi pemerintah makin modern dan responsif.,Positive,2481,7,2495,#UMKMBatu,Infrastruktur,Batu,2025-05-13 00:23:36,Public Employee,Low,aplikasipemerintahmakinmoderndanresponsif,2025,5,13,Medium
CMT-100075,TikTok,Batu Tourism App,Aplikasi pemerintah makin modern dan responsif.,Positive,4026,52,4130,#KotaBatu,Ekonomi Digital,Blitar,2026-04-11 10:56:21,UMKM Owner,Low,aplikasipemerintahmakinmoderndanresponsif,2026,4,11,High
CMT-100076,Instagram,Digital UMKM,Pelayanan sekarang jauh lebih cepat dan mudah.,Positive,2073,481,3035,#DiskominfoBatu,Teknologi,Blitar,2026-02-16 03:56:26,Citizen,Low,pelayanansekarangjauhlebihcepatdanmudah,2026,2,16,High
CMT-100077,Twitter/X,Batu Tourism App,Semoga layanan terus ditingkatkan.,Neutral,1247,76,1399,#DiskominfoBatu,Pariwisata,Batu,2025-09-25 05:39:25,Public Employee,Medium,semogalayananterusditingkatkan,2025,9,25,Medium
CMT-100078,Instagram,Smart Transportation Batu,Programnya cukup menarik untuk dicoba.,Neutral,4285,194,4673,#UMKMBatu,Teknologi,Surabaya,2026-01-28 00:29:35,Public Employee,Medium,programnyacukupmenarikuntukdicoba,2026,1,28,High
CMT-100079,TikTok,Batu Tourism App,Fiturnya cukup membantu untuk masyarakat.,Neutral,1707,320,2347,#DiskominfoBatu,UMKM,Malang,2026-05-08 00:35:09,Student,Medium,fiturnyacukupmembantuuntukmasyarakat,2026,5,8,Medium
CMT-100080,Instagram,Smart Transportation Batu,Masih ada beberapa fitur yang perlu diperbaiki.,Neutral,26,209,444,#UMKMBatu,Infrastruktur,Malang,2025-05-17 17:44:52,UMKM Owner,Medium,masihadabeberapafituryangperludiperbaiki,2025,5,17,Low
CMT-100081,TikTok,Batu Tourism App,Pelayanan sudah cukup baik.,Neutral,588,351,1290,#PelayananPublik,Teknologi,Batu,2025-08-30 12:03:59,Public Employee,Medium,pelayanansudahcukupbaik,2025,8,30,Medium
CMT-100082,TikTok,Digital UMKM,Aplikasi pemerintah makin modern dan responsif.,Positive,2181,423,3027,#SmartCityBatu,UMKM,Surabaya,2026-01-17 07:18:29,Public Employee,Low,aplikasipemerintahmakinmoderndanresponsif,2026,1,17,High
CMT-100083,Instagram,Batu Tourism App,Informasi sudah cukup jelas.,Neutral,3602,63,3728,#DigitalGovernment,Transportasi,Pasuruan,2025-11-02 05:52:44,Public Employee,Medium,informasisudahcukupjelas,2025,11,2,High
CMT-100084,Instagram,E-Government Service,Program ini sangat membantu masyarakat.,Positive,4904,20,4944,#UMKMBatu,Infrastruktur,Batu,2025-12-05 06:58:18,Student,Low,programinisangatmembantumasyarakat,2025,12,5,High
CMT-100085,TikTok,Smart Transportation Batu,Aplikasinya sering error saat digunakan.,Negative,4725,20,4765,#KotaBatu,Transportasi,Malang,2025-11-21 03:52:00,Public Employee,High,aplikasinyaseringerrorsaatdigunakan,2025,11,21,High
CMT-100086,Instagram,Digital Learning Batu,Pelayanan online sekarang lebih efisien.,Positive,752,240,1232,#WisataBatu,Pelayanan Publik,Kediri,2026-05-05 19:42:54,Citizen,Low,pelayananonlinesekaranglebihefisien,2026,5,5,Medium
CMT-100087,Twitter/X,Digital Learning Batu,Pelayanan online masih membingungkan.,Negative,4063,147,4357,#SmartCityBatu,Ekonomi Digital,Batu,2026-04-18 00:21:29,UMKM Owner,High,pelayananonlinemasihmembingungkan,2026,4,18,High
CMT-100088,Twitter/X,Smart City Batu,Program ini sangat membantu masyarakat.,Positive,3316,442,4200,#KotaBatu,Teknologi,Batu,2026-02-24 13:27:41,Student,Low,programinisangatmembantumasyarakat,2026,2,24,High
CMT-100089,TikTok,Pelayanan Dukcapil Online,Pelayanan online sekarang lebih efisien.,Positive,3626,389,4404,#UMKMBatu,UMKM,Surabaya,2026-04-13 13:53:01,Tourist,Low,pelayananonlinesekaranglebihefisien,2026,4,13,High
CMT-100090,Twitter/X,Pelayanan Dukcapil Online,Server sering down saat ramai pengguna.,Negative,241,498,1237,#BatuDigital,Transportasi,Pasuruan,2026-04-09 13:32:51,Citizen,Medium,serverseringdownsaatramaipengguna,2026,4,9,Medium
CMT-100091,TikTok,Smart Transportation Batu,Fiturnya cukup membantu untuk masyarakat.,Neutral,1845,430,2705,#DiskominfoBatu,UMKM,Blitar,2026-01-08 00:24:22,UMKM Owner,Medium,fiturnyacukupmembantuuntukmasyarakat,2026,1,8,Medium
CMT-100092,Instagram,Smart Transportation Batu,Digitalisasi layanan sangat mempermudah warga.,Positive,3408,427,4262,#PelayananPublik,Ekonomi Digital,Pasuruan,2025-12-04 00:06:21,Student,Low,digitalisasilayanansangatmempermudahwarga,2025,12,4,High
CMT-100093,Instagram,E-Government Service,Aplikasi pemerintah makin modern dan responsif.,Positive,576,141,858,#UMKMBatu,Infrastruktur,Surabaya,2025-10-13 16:28:51,UMKM Owner,Low,aplikasipemerintahmakinmoderndanresponsif,2025,10,13,Low
CMT-100094,Twitter/X,Smart Transportation Batu,Pelayanan sudah cukup baik.,Neutral,1222,228,1678,#WisataBatu,Pelayanan Publik,Pasuruan,2025-11-04 14:07:57,Public Employee,Medium,pelayanansudahcukupbaik,2025,11,4,Medium
CMT-100095,TikTok,Digital Learning Batu,Informasi publik jadi lebih transparan.,Positive,1550,357,2264,#PelayananPublik,Teknologi,Batu,2026-02-08 01:27:01,UMKM Owner,Low,informasipublikjadilebihtransparan,2026,2,8,Medium
CMT-100096,Twitter/X,WiFi Publik Kota Batu,Masih perlu pengembangan lebih lanjut.,Neutral,3167,339,3845,#KotaBatu,Infrastruktur,Malang,2026-01-16 08:19:53,Public Employee,Medium,masihperlupengembanganlebihlanjut,2026,1,16,High
CMT-100097,Twitter/X,Smart Transportation Batu,Pelayanan online masih membingungkan.,Negative,3611,51,3713,#SmartCityBatu,UMKM,Blitar,2025-08-23 01:01:17,Student,Medium,pelayananonlinemasihmembingungkan,2025,8,23,High
CMT-100098,Twitter/X,Digital Learning Batu,Digitalisasi layanan sangat mempermudah warga.,Positive,2778,319,3416,#DiskominfoBatu,Pelayanan Publik,Kediri,2026-03-04 22:58:05,Public Employee,Low,digitalisasilayanansangatmempermudahwarga,2026,3,4,High
CMT-100099,Twitter/X,Smart City Batu,Informasi publik jadi lebih transparan.,Positive,4002,446,4894,#DiskominfoBatu,Pariwisata,Kediri,2026-04-08 05:35:23,UMKM Owner,Low,informasipublikjadilebihtransparan,2026,4,8,High
CMT-100100,Twitter/X,Digital UMKM,Respon pelayanan masih cukup lambat.,Negative,811,389,1589,#KotaBatu,UMKM,Kediri,2026-03-13 04:14:32,UMKM Owner,High,responpelayananmasihcukuplambat,2026,3,13,Medium
CMT-100101,Instagram,E-Government Service,Aplikasinya sering error saat digunakan.,Negative,464,150,764,#DigitalGovernment,UMKM,Malang,2026-01-25 12:48:01,Public Employee,High,aplikasinyaseringerrorsaatdigunakan,2026,1,25,Low
CMT-100102,TikTok,Digital Learning Batu,Aplikasi pemerintah makin modern dan responsif.,Positive,1397,89,1575,#PelayananPublik,Ekonomi Digital,Pasuruan,2025-06-06 17:05:57,Student,Low,aplikasipemerintahmakinmoderndanresponsif,2025,6,6,Medium
CMT-100103,Twitter/X,Smart City Batu,Digitalisasi layanan sangat mempermudah warga.,Positive,3769,130,4029,#KotaBatu,Transportasi,Kediri,2025-10-08 03:33:25,Public Employee,Low,digitalisasilayanansangatmempermudahwarga,2025,10,8,High
CMT-100104,Instagram,Digital Learning Batu,Pelayanan online sekarang lebih efisien.,Positive,2835,300,3435,#UMKMBatu,Ekonomi Digital,Surabaya,2026-03-07 22:03:38,Student,Low,pelayananonlinesekaranglebihefisien,2026,3,7,High
CMT-100105,Twitter/X,E-Government Service,Server sering down saat ramai pengguna.,Negative,1948,195,2338,#UMKMBatu,Transportasi,Batu,2026-04-05 22:16:31,Tourist,Medium,serverseringdownsaatramaipengguna,2026,4,5,Medium
CMT-100106,Instagram,Batu Tourism App,Pelayanan sekarang jauh lebih cepat dan mudah.,Positive,4972,381,5734,#PelayananPublik,Pelayanan Publik,Malang,2026-02-27 21:56:20,Student,Low,pelayanansekarangjauhlebihcepatdanmudah,2026,2,27,High
CMT-100107,Twitter/X,Smart City Batu,Masih ada beberapa fitur yang perlu diperbaiki.,Neutral,800,462,1724,#UMKMBatu,Ekonomi Digital,Batu,2025-08-04 11:38:34,Public Employee,Medium,masihadabeberapafituryangperludiperbaiki,2025,8,4,Medium
CMT-100108,Instagram,E-Government Service,Aplikasi pemerintah makin modern dan responsif.,Positive,743,465,1673,#DigitalGovernment,UMKM,Malang,2025-12-24 10:18:48,Student,Low,aplikasipemerintahmakinmoderndanresponsif,2025,12,24,Medium
CMT-100109,Instagram,WiFi Publik Kota Batu,Aplikasinya lumayan mudah digunakan.,Neutral,4353,256,4865,#UMKMBatu,Ekonomi Digital,Surabaya,2025-09-21 15:49:08,UMKM Owner,Medium,aplikasinyalumayanmudahdigunakan,2025,9,21,High
CMT-100110,TikTok,Digital Learning Batu,Pelayanan sudah cukup baik.,Neutral,621,72,765,#WisataBatu,Pendidikan,Blitar,2026-04-11 03:49:52,Citizen,Medium,pelayanansudahcukupbaik,2026,4,11,Low
